,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
295,mecca,69,SA,1587177199,50,21.43,39.83,69.87,3.33
296,port blair,61,IN,1587176535,71,11.67,92.75,83.5,3.38
297,kamyshin,38,RU,1587177200,74,50.1,45.42,40.62,8.52
298,alamosa,1,US,1587177200,20,37.47,-105.87,53.6,16.11
299,stokmarknes,100,NO,1587176649,90,68.56,14.91,37.0,3.0
300,bend,1,US,1587176643,5,44.06,-121.32,69.8,10.29
301,sibolga,99,ID,1587177201,57,1.74,98.78,87.64,2.86
302,sao gabriel da cachoeira,100,BR,1587177201,94,-0.13,-67.09,73.71,2.66
303,ariquemes,8,BR,1587177201,85,-9.91,-63.04,71.56,3.76
304,itoman,40,JP,1587177081,83,26.12,127.67,78.8,12.75
305,amboasary,0,MG,1587177202,81,-25.03,46.38,66.02,4.0
306,salinopolis,100,BR,1587176971,88,-0.61,-47.36,77.02,5.08
307,rabat,20,MA,1587176608,100,33.99,-6.84,60.01,4.34
308,jacareacanga,65,BR,1587177017,94,-6.22,-57.75,73.06,2.39
309,ewa beach,1,US,1587177202,45,21.32,-158.01,84.2,6.93
310,sergeyevka,10,KZ,1587177203,55,53.88,67.42,52.18,13.85
311,padang,38,ID,1587176612,62,-0.95,100.35,87.15,0.49
312,brigantine,90,US,1587177203,62,39.41,-74.36,51.8,13.87
313,senneterre,75,CA,1587177203,96,48.38,-77.23,32.0,6.93
314,wajima,75,JP,1587177204,100,37.4,136.9,48.2,13.87
315,satipo,67,PE,1587177026,52,-11.25,-74.64,68.47,1.16
316,kahului,40,US,1587176477,51,20.89,-156.47,82.4,20.8
317,xai-xai,67,MZ,1587177204,82,-25.05,33.64,72.64,5.84
318,amahai,22,ID,1587177204,70,-3.33,128.92,86.27,3.38
319,sorland,100,NO,1587177018,94,67.67,12.69,38.82,16.13
320,do gonbadan,29,IR,1587177205,50,30.36,50.8,51.8,1.48
321,port hardy,75,CA,1587177028,76,50.7,-127.42,51.8,6.93
322,ardakan,0,IR,1587177205,93,32.31,54.02,50.0,2.24
323,elko,100,US,1587177205,19,41.0,-115.5,53.01,2.01
324,odweyne,16,SO,1587177206,57,9.41,45.06,72.72,8.1
325,muros,33,ES,1587176404,93,42.78,-9.06,54.0,1.99
326,carutapera,100,BR,1587176997,90,-1.2,-46.02,76.77,6.82
327,luchegorsk,100,RU,1587177207,37,46.48,134.26,56.57,4.43
328,houma,1,US,1587176977,88,29.6,-90.72,75.0,3.36
329,volovo,84,UA,1587177208,67,48.52,23.51,38.28,4.99
330,key biscayne,90,US,1587177208,78,25.69,-80.16,82.4,6.93
331,linhares,76,BR,1587177209,84,-19.39,-40.07,73.18,8.37
332,nunchia,82,CO,1587177210,47,5.64,-72.2,78.51,2.48
333,jeremie,11,HT,1587177210,79,18.65,-74.12,77.59,2.24
334,ambilobe,56,MG,1587176619,74,-13.2,49.05,73.6,7.11
335,tautira,95,PF,1587176374,70,-17.73,-149.15,86.0,5.82
336,rio grande,0,BR,1587176617,86,-32.03,-52.1,63.59,8.34
337,celestun,0,MX,1587177211,83,20.87,-90.4,80.37,15.17
338,champerico,39,GT,1587177211,69,14.3,-91.92,84.13,4.38
339,kuruman,0,ZA,1587177212,20,-27.45,23.43,58.17,10.92
340,otane,0,NZ,1587177060,72,-39.88,176.63,64.0,18.99
341,bogorodskoye,32,RU,1587177212,93,56.55,37.88,30.56,10.98
342,husavik,0,IS,1587176961,73,66.04,-17.34,42.8,28.86
343,verkhoyansk,100,RU,1587177212,84,67.54,133.38,1.54,8.84
344,kashi,40,CN,1587177053,71,39.45,75.98,51.8,7.58
345,zelenoborsk,100,RU,1587177184,92,61.47,64.03,36.82,6.82
346,kazanka,25,UA,1587177213,55,47.85,32.82,37.4,8.95
347,zhuhai,40,CN,1587177213,94,22.28,113.57,80.6,6.93
348,tezu,24,IN,1587177012,36,27.92,96.17,85.42,2.98
349,pevek,23,RU,1587176922,93,69.7,170.31,8.28,9.26
350,muncar,36,ID,1587177214,65,-8.43,114.33,86.83,0.89
351,san patricio,100,MX,1587176651,61,19.22,-104.7,75.92,8.93
352,raipur,0,IN,1587177201,55,21.23,81.63,86.0,9.17
353,auchi,14,NG,1587177214,87,7.07,6.27,75.67,4.14
354,zhigansk,0,RU,1587176932,89,66.77,123.37,3.07,15.99
355,palana,99,RU,1587177215,93,59.12,159.97,23.5,3.2
356,waipawa,1,NZ,1587176649,67,-41.41,175.52,62.6,21.92
357,rafai,100,CF,1587177216,83,4.95,23.92,71.46,4.12
358,sitio novo do tocantins,100,BR,1587177216,93,-5.52,-47.46,71.76,3.22
359,dunedin,99,NZ,1587177005,85,-45.87,170.5,55.99,1.01
360,smithers,40,CA,1587176661,58,54.78,-127.17,55.4,8.05
361,xambioa,99,BR,1587177217,92,-6.41,-48.54,72.72,4.09
362,riyadh,40,SA,1587177017,72,24.69,46.72,66.2,4.7
363,honningsvag,97,NO,1587177217,83,70.98,25.97,36.55,28.83
364,ugep,30,NG,1587177217,91,5.81,8.08,76.42,3.42
365,kieta,13,PG,1587177013,69,-6.22,155.63,84.74,2.64
366,rzhev,76,RU,1587177218,89,56.26,34.33,32.27,11.03
367,madera,96,US,1587177218,72,37.17,-119.83,61.0,1.01
368,auburn,75,US,1587177218,55,47.31,-122.23,66.99,11.41
369,andenes,100,NO,1587177218,86,69.31,16.12,37.4,9.17
370,kramat,83,ID,1587177219,58,-8.13,113.45,87.55,2.04
371,kollam,20,IN,1587177219,74,8.88,76.6,84.2,4.7
372,denpasar,20,ID,1587177219,79,-8.65,115.22,87.8,4.7
373,raduzhnyy,100,RU,1587177219,78,62.1,77.47,45.14,16.93
374,roma,90,US,1587176945,86,43.21,-75.46,35.01,5.82
375,cabo san lucas,5,MX,1587177093,72,22.89,-109.91,66.99,16.11
376,ende,13,ID,1587177220,73,-8.84,121.66,83.44,6.33
377,doka,18,SD,1587177220,14,13.52,35.77,73.17,6.93
378,maneadero,30,MX,1587177221,76,31.72,-116.57,61.0,3.0
379,valcourt,17,CA,1587177221,83,45.5,-72.32,26.01,3.47
380,auki,98,SB,1587176663,79,-8.77,160.7,81.34,3.22
381,burdur,100,TR,1587177221,81,37.72,30.29,42.8,4.7
382,ilhabela,77,BR,1587177221,71,-23.78,-45.36,69.84,3.94
